node_id,region,avg_download_utilization,max_download_utilization,avg_upload_utilization,max_upload_utilization,total_reading_count,critical_reading_count,critical_reading_pct,risk_level
CHI-003,Chicago,56.74392857142857,93.8,28.218809523809526,53.75,168,8,4.76,high_risk
PHL-001,Philadelphia,56.078154761904756,90.62,27.791964285714286,49.39,168,6,3.57,high_risk
NYC-001,New York,55.756726190476186,92.22,27.33672619047619,55.02,168,5,2.98,high_risk
PHL-003,Philadelphia,55.360238095238095,91.54,27.170476190476194,51.03,168,5,2.98,high_risk
NYC-002,New York,56.12833333333333,88.62,27.859345238095237,55.84,168,5,2.98,high_risk
CHI-001,Chicago,55.48083333333334,93.54,27.463511904761905,51.91,168,3,1.79,high_risk
NYC-003,New York,55.58869047619047,89.57,27.716309523809525,48.9,168,3,1.79,watch
PHL-002,Philadelphia,54.70589285714286,86.32,27.249464285714286,51.14,168,3,1.79,watch
CHI-002,Chicago,56.13738095238095,89.72,28.06827380952381,55.89,168,2,1.19,watch
PHL-004,Philadelphia,55.69690476190476,89.32,27.752738095238094,52.66,168,2,1.19,watch
