node_id,region,avg_download_utilization,max_download_utilization,avg_upload_utilization,max_upload_utilization,total_reading_count,critical_reading_count,peak_hour_avg_download_utilization,peak_hour_max_download_utilization,peak_hour_total_reading_count,peak_hour_critical_reading_count,first_day_avg_download_utilization,last_day_avg_download_utilization,critical_reading_pct,download_utilization_change,risk_level
CHI-003,Chicago,56.74392857142857,93.8,28.218809523809526,53.75,168,8,74.52342857142858,93.8,35,8,54.11625,58.803333333333335,4.76,4.69,high_risk
PHL-001,Philadelphia,56.078154761904756,90.62,27.791964285714286,49.39,168,6,69.71171428571428,90.62,35,6,61.44,54.03,3.57,-7.41,high_risk
NYC-001,New York,55.756726190476186,92.22,27.33672619047619,55.02,168,5,72.33857142857143,92.22,35,5,54.062916666666666,57.11208333333334,2.98,3.05,high_risk
PHL-003,Philadelphia,55.360238095238095,91.54,27.170476190476194,51.03,168,5,70.37457142857143,91.54,35,5,55.16083333333333,59.46375,2.98,4.3,high_risk
NYC-002,New York,56.12833333333333,88.62,27.859345238095237,55.84,168,5,71.34171428571429,88.62,35,5,54.9175,51.81,2.98,-3.11,high_risk
CHI-001,Chicago,55.48083333333334,93.54,27.463511904761905,51.91,168,3,67.22942857142857,93.54,35,3,54.919999999999995,54.419999999999995,1.79,-0.5,high_risk
NYC-003,New York,55.58869047619047,89.57,27.716309523809525,48.9,168,3,69.28114285714287,89.57,35,3,53.030833333333334,55.599583333333335,1.79,2.57,watch
PHL-002,Philadelphia,54.70589285714286,86.32,27.249464285714286,51.14,168,3,67.73571428571428,86.32,35,3,55.423750000000005,55.76499999999999,1.79,0.34,watch
CHI-002,Chicago,56.13738095238095,89.72,28.06827380952381,55.89,168,2,68.83828571428572,89.72,35,2,56.90708333333333,56.61625,1.19,-0.29,watch
PHL-004,Philadelphia,55.69690476190476,89.32,27.752738095238094,52.66,168,2,71.00314285714286,89.32,35,2,54.23541666666667,52.73166666666666,1.19,-1.5,watch
